# SP-CLUSTER-FLAKE T2 — vulcan stress verification (600 iterations, 0 failures)
# 2026-05-29 — cluster:: tests run 8-way-parallel × --test-threads=16
# vulcan: 16-core EPYC, CARGO_TARGET_DIR=/tmp/kdb-target-flake
# round 1: 25 outer × 8 parallel = 200 reps; round 2: 50 outer × 8 parallel = 400 reps
#
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.44s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.47s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.41s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.41s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.41s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.41s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.41s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.40s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.41s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.40s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.40s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.40s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.40s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.40s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.40s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.43s
test result: ok. 6 passed; 0 failed; 0 ignored; 0 measured; 124 filtered out; finished in 0.42s
